#Updated: 02/12/2016 07:21:57
#organism_name	taxID	group	sub group	assembly	level	refSeq FTP	geneBank FTP
Saccharomyces cerevisiae YJM1338	1294350	Fungi	Ascomycetes	GCA_000977205.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/977/205/GCA_000977205.1_Sc_YJM1338_v1
Fusarium oxysporum f. sp. melonis	61369	Fungi	Ascomycetes	GCA_001703215.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/703/215/GCA_001703215.1_Fom004
Fusarium oxysporum f. sp. melonis	61369	Fungi	Ascomycetes	GCA_001703255.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/703/255/GCA_001703255.1_Fom006
Saccharomyces cerevisiae YJM1341	1294351	Fungi	Ascomycetes	GCA_000977235.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/977/235/GCA_000977235.1_Sc_YJM1341_v1
Saccharomyces cerevisiae YJM1342	1294352	Fungi	Ascomycetes	GCA_000977265.2 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/977/265/GCA_000977265.2_Sc_YJM1342_v1
Fusarium oxysporum f. sp. melonis	61369	Fungi	Ascomycetes	GCA_001703265.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/703/265/GCA_001703265.1_Fom009
Fusarium oxysporum f. sp. melonis	61369	Fungi	Ascomycetes	GCA_001703295.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/703/295/GCA_001703295.1_Fom011
Saccharomyces cerevisiae YJM1355	1294353	Fungi	Ascomycetes	GCA_000977295.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/977/295/GCA_000977295.1_Sc_YJM1355_v1
Saccharomyces cerevisiae YJM1356	1294354	Fungi	Ascomycetes	GCA_000977325.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/977/325/GCA_000977325.1_Sc_YJM1356_v1
Fusarium oxysporum f. sp. melonis	61369	Fungi	Ascomycetes	GCA_001703305.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/703/305/GCA_001703305.1_Fom010
Fusarium oxysporum f. sp. melonis	61369	Fungi	Ascomycetes	GCA_001703335.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/703/335/GCA_001703335.1_Fom013
Saccharomyces cerevisiae YJM1381	1294355	Fungi	Ascomycetes	GCA_000977355.2 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/977/355/GCA_000977355.2_Sc_YJM1381_v1
Saccharomyces cerevisiae YJM1383	1294356	Fungi	Ascomycetes	GCA_000977385.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/977/385/GCA_000977385.1_Sc_YJM1383_v1
Fusarium oxysporum f. sp. melonis	61369	Fungi	Ascomycetes	GCA_001703345.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/703/345/GCA_001703345.1_Fom012
Fusarium oxysporum f. sp. lycopersici	59765	Fungi	Ascomycetes	GCA_001703355.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/703/355/GCA_001703355.1_Fol002
Saccharomyces cerevisiae YJM1385	1294357	Fungi	Ascomycetes	GCA_000977415.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/977/415/GCA_000977415.1_Sc_YJM1385_v1
Saccharomyces cerevisiae YJM1386	1294358	Fungi	Ascomycetes	GCA_000977445.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/977/445/GCA_000977445.1_Sc_YJM1386_v1
Fusarium oxysporum f. sp. melonis	61369	Fungi	Ascomycetes	GCA_001703365.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/703/365/GCA_001703365.1_Fom016
Fusarium oxysporum f. cucumerinum	5508	Fungi	Ascomycetes	GCA_001703455.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/703/455/GCA_001703455.1_Foc011
Saccharomyces cerevisiae YJM1387	1294359	Fungi	Ascomycetes	GCA_000977475.2 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/977/475/GCA_000977475.2_Sc_YJM1387_v1
Saccharomyces cerevisiae YJM1388	1294360	Fungi	Ascomycetes	GCA_000977505.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/977/505/GCA_000977505.1_Sc_YJM1388_v1
Fusarium oxysporum f. sp. ciceris	62683	Fungi	Ascomycetes	GCA_001757345.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/757/345/GCA_001757345.1_ASM175734v1
Saccharomyces cerevisiae YJM1389	1294361	Fungi	Ascomycetes	GCA_000977535.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/977/535/GCA_000977535.1_Sc_YJM1389_v1
Saccharomyces cerevisiae YJM1399	1294362	Fungi	Ascomycetes	GCA_000977565.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/977/565/GCA_000977565.1_Sc_YJM1399_v1
Saccharomyces cerevisiae YJM1400	1294363	Fungi	Ascomycetes	GCA_000977595.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/977/595/GCA_000977595.1_Sc_YJM1400_v1
Saccharomyces cerevisiae YJM1401	1294364	Fungi	Ascomycetes	GCA_000977625.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/977/625/GCA_000977625.1_Sc_YJM1401_v1
Saccharomyces cerevisiae YJM1402	1294365	Fungi	Ascomycetes	GCA_000977655.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/977/655/GCA_000977655.1_Sc_YJM1402_v1
Saccharomyces cerevisiae YJM1415	1294366	Fungi	Ascomycetes	GCA_000977685.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/977/685/GCA_000977685.1_Sc_YJM1415_v1
Saccharomyces cerevisiae YJM1417	1294367	Fungi	Ascomycetes	GCA_000977715.3 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/977/715/GCA_000977715.3_Sc_YJM1417_v1
Saccharomyces cerevisiae YJM1418	1294368	Fungi	Ascomycetes	GCA_000977745.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/977/745/GCA_000977745.1_Sc_YJM1418_v1
Saccharomyces cerevisiae YJM1419	1294369	Fungi	Ascomycetes	GCA_000977775.2 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/977/775/GCA_000977775.2_Sc_YJM1419_v1
Saccharomyces cerevisiae YJM1433	1294370	Fungi	Ascomycetes	GCA_000977805.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/977/805/GCA_000977805.1_Sc_YJM1433_v1
Saccharomyces cerevisiae YJM1434	1294371	Fungi	Ascomycetes	GCA_000977835.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/977/835/GCA_000977835.1_Sc_YJM1434_v1
Saccharomyces cerevisiae YJM1439	1294372	Fungi	Ascomycetes	GCA_000977865.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/977/865/GCA_000977865.1_Sc_YJM1439_v1
Saccharomyces cerevisiae YJM1443	1294373	Fungi	Ascomycetes	GCA_000977895.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/977/895/GCA_000977895.1_Sc_YJM1443_v1
Saccharomyces cerevisiae YJM1444	1294374	Fungi	Ascomycetes	GCA_000977925.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/977/925/GCA_000977925.1_Sc_YJM1444_v1
Saccharomyces cerevisiae YJM1447	1294375	Fungi	Ascomycetes	GCA_000977955.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/977/955/GCA_000977955.1_Sc_YJM1447_v1
Saccharomyces cerevisiae YJM1450	1294376	Fungi	Ascomycetes	GCA_000977985.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/977/985/GCA_000977985.1_Sc_YJM1450_v1
Saccharomyces cerevisiae YJM1460	1294377	Fungi	Ascomycetes	GCA_000978015.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/978/015/GCA_000978015.1_Sc_YJM1460_v1
Saccharomyces cerevisiae YJM1463	1294378	Fungi	Ascomycetes	GCA_000978045.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/978/045/GCA_000978045.1_Sc_YJM1463_v1
Saccharomyces cerevisiae YJM1477	1294379	Fungi	Ascomycetes	GCA_000978075.2 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/978/075/GCA_000978075.2_Sc_YJM1477_v1
Saccharomyces cerevisiae YJM1478	1294380	Fungi	Ascomycetes	GCA_000978105.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/978/105/GCA_000978105.1_Sc_YJM1478_v1
Saccharomyces cerevisiae YJM1479	1294381	Fungi	Ascomycetes	GCA_000978135.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/978/135/GCA_000978135.1_Sc_YJM1479_v1
Saccharomyces cerevisiae YJM1526	1294382	Fungi	Ascomycetes	GCA_000978165.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/978/165/GCA_000978165.1_Sc_YJM1526_v1
Saccharomyces cerevisiae YJM1527	1294383	Fungi	Ascomycetes	GCA_000978195.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/978/195/GCA_000978195.1_Sc_YJM1527_v1
Saccharomyces cerevisiae YJM1549	1294384	Fungi	Ascomycetes	GCA_000978225.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/978/225/GCA_000978225.1_Sc_YJM1549_v1
Saccharomyces cerevisiae YJM1573	1294385	Fungi	Ascomycetes	GCA_000978255.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/978/255/GCA_000978255.1_Sc_YJM1573_v1
Saccharomyces cerevisiae YJM1574	1294386	Fungi	Ascomycetes	GCA_000978285.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/978/285/GCA_000978285.1_Sc_YJM1574_v1
Saccharomyces cerevisiae YJM1592	1294387	Fungi	Ascomycetes	GCA_000978315.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/978/315/GCA_000978315.1_Sc_YJM1592_v1
Saccharomyces cerevisiae YJM1615	1294388	Fungi	Ascomycetes	GCA_000978345.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/978/345/GCA_000978345.1_Sc_YJM1615_v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001029075.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/029/075/GCA_001029075.1_ASM102907v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001592655.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/592/655/GCA_001592655.1_ASM159265v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001669875.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/669/875/GCA_001669875.1_ASM166987v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001669905.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/669/905/GCA_001669905.1_ASM166990v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001669935.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/669/935/GCA_001669935.1_ASM166993v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001669965.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/669/965/GCA_001669965.1_ASM166996v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001669995.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/669/995/GCA_001669995.1_ASM166999v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001670025.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/670/025/GCA_001670025.1_ASM167002v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001670055.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/670/055/GCA_001670055.1_ASM167005v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001670085.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/670/085/GCA_001670085.1_ASM167008v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001670115.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/670/115/GCA_001670115.1_ASM167011v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001670145.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/670/145/GCA_001670145.1_ASM167014v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001670175.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/670/175/GCA_001670175.1_ASM167017v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001670205.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/670/205/GCA_001670205.1_ASM167020v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001670235.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/670/235/GCA_001670235.1_ASM167023v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001670265.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/670/265/GCA_001670265.1_ASM167026v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001670295.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/670/295/GCA_001670295.1_ASM167029v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001670325.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/670/325/GCA_001670325.1_ASM167032v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001670355.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/670/355/GCA_001670355.1_ASM167035v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001670385.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/670/385/GCA_001670385.1_ASM167038v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001670415.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/670/415/GCA_001670415.1_ASM167041v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001670845.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/670/845/GCA_001670845.1_ASM167084v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001670935.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/670/935/GCA_001670935.1_ASM167093v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001670965.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/670/965/GCA_001670965.1_ASM167096v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001670995.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/670/995/GCA_001670995.1_ASM167099v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671025.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/025/GCA_001671025.1_ASM167102v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671055.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/055/GCA_001671055.1_ASM167105v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671085.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/085/GCA_001671085.1_ASM167108v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671115.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/115/GCA_001671115.1_ASM167111v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671165.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/165/GCA_001671165.1_ASM167116v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671195.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/195/GCA_001671195.1_ASM167119v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671225.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/225/GCA_001671225.1_ASM167122v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671255.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/255/GCA_001671255.1_ASM167125v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671285.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/285/GCA_001671285.1_ASM167128v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671315.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/315/GCA_001671315.1_ASM167131v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671345.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/345/GCA_001671345.1_ASM167134v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671375.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/375/GCA_001671375.1_ASM167137v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671405.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/405/GCA_001671405.1_ASM167140v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671435.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/435/GCA_001671435.1_ASM167143v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671565.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/565/GCA_001671565.1_ASM167156v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671595.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/595/GCA_001671595.1_ASM167159v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671625.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/625/GCA_001671625.1_ASM167162v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671655.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/655/GCA_001671655.1_ASM167165v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671685.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/685/GCA_001671685.1_ASM167168v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671715.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/715/GCA_001671715.1_ASM167171v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671745.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/745/GCA_001671745.1_ASM167174v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671775.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/775/GCA_001671775.1_ASM167177v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671805.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/805/GCA_001671805.1_ASM167180v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671835.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/835/GCA_001671835.1_ASM167183v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671865.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/865/GCA_001671865.1_ASM167186v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671895.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/895/GCA_001671895.1_ASM167189v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671925.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/925/GCA_001671925.1_ASM167192v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671955.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/955/GCA_001671955.1_ASM167195v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001671985.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/985/GCA_001671985.1_ASM167198v1
Saccharomyces cerevisiae Sigma1278b	658763	Fungi	Ascomycetes	GCA_000151485.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/485/GCA_000151485.1_ASM15148v1
Saccharomyces cerevisiae AWRI796	764097	Fungi	Ascomycetes	GCA_000190195.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/190/195/GCA_000190195.1_ScAWRI796_v01
Saccharomyces cerevisiae Vin13	764099	Fungi	Ascomycetes	GCA_000190215.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/190/215/GCA_000190215.1_ScVIN13_v01
Saccharomyces cerevisiae VL3	764100	Fungi	Ascomycetes	GCA_000190235.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/190/235/GCA_000190235.1_ScVL3_v01
Saccharomyces cerevisiae FostersB	764102	Fungi	Ascomycetes	GCA_000190255.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/190/255/GCA_000190255.1_ScFostersB_v01
Saccharomyces cerevisiae CEN.PK113-7D	889517	Fungi	Ascomycetes	GCA_000269885.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/269/885/GCA_000269885.1_ASM26988v1
Saccharomyces cerevisiae YJSH1	1087981	Fungi	Ascomycetes	GCA_000275665.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/275/665/GCA_000275665.1_YJSH1_1.0
Saccharomyces cerevisiae W303	580240	Fungi	Ascomycetes	GCA_000292815.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/292/815/GCA_000292815.1_ASM29281v1
Saccharomyces cerevisiae R008	1182966	Fungi	Ascomycetes	GCA_000568005.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/568/005/GCA_000568005.1_R008
Saccharomyces cerevisiae P301	1182968	Fungi	Ascomycetes	GCA_000568055.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/568/055/GCA_000568055.1_p301
Saccharomyces cerevisiae P283	1177187	Fungi	Ascomycetes	GCA_000568295.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/568/295/GCA_000568295.1_P283
Saccharomyces cerevisiae R103	1182967	Fungi	Ascomycetes	GCA_000568365.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/568/365/GCA_000568365.1_R103
Saccharomyces cerevisiae UFMG A-905	1434269	Fungi	Ascomycetes	GCA_000733235.3 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/733/235/GCA_000733235.3_ASM73323v3
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001634645.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/634/645/GCA_001634645.1_GLBRCY22-3
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001735825.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/735/825/GCA_001735825.1_ASM173582v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001737145.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/737/145/GCA_001737145.1_ASM173714v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001737155.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/737/155/GCA_001737155.1_ASM173715v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001737165.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/737/165/GCA_001737165.1_ASM173716v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001737175.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/737/175/GCA_001737175.1_ASM173717v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001737265.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/737/265/GCA_001737265.1_ASM173726v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001737275.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/737/275/GCA_001737275.1_ASM173727v1
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001737285.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/737/285/GCA_001737285.1_ASM173728v1
